Case #1: Impossible
20 19 158138
4 9 153033
17 10 171516
6 16 191696
23 7 131885
23 9 175866
24 11 67082
20 22 143263
7 13 156895
Case #5: 250
26 5 348752
9 22 265598
28 2 215170
5 6 215129
8 23 239953
6 13 200101
22 28 261888
14 16 246799
22 7 199975
28 18 161086
13 16 272537
6 15 122051
15 10 114698
8 10 186061
23 15 85614
6 27 244059
17 20 248515
2 8 223420
21 15 75390
3 18 165554
18 8 179127
16 5 204879
22 23 177962
22 4 379699
16 24 164440
29 3 164159
25 21 165441
19 7 8459
27 18 202762
16 22 198035
11 12 207319
9 10 286988
28 3 260733
17 28 56579
10 28 166474
1 8 113799
11 19 105297
4 19 211811
18 20 141348
19 18 73420
20 16 225571
25 3 133066
15 24 86659
4 23 254956
15 14 187364
24 17 122947
19 16 160433
6 12 209588
9 25 262341
23 18 60826
13 19 155607
2 6 274700
15 17 187068
14 5 229226
16 11 116100
28 26 372848
19 27 228492
26 1 297548
19 20 214768
22 12 244742
17 10 223053
9 27 302574
28 16 126447
4 6 232968
19 21 162116
2 10 97990
19 17 139277
28 23 100260
21 24 11269
25 19 188259
2 22 85673
7 21 170575
17 29 178820
3 24 242981
24 29 78822
23 9 208328
23 16 26187
25 11 146716
8 5 299783
19 5 194076
10 27 63276
12 14 204795
26 2 196633
2 7 256951
23 26 288922
16 3 249777
20 9 267308
29 22 118531
28 27 213391
11 22 149013
27 13 230961
9 29 148897
15 18 24788
8 25 210708
2 27 161266
21 2 238784
2 15 163394
27 12 196245
6 26 325359
1 14 134817
29 10 140881
5 10 113756
20 29 139953
25 12 158973
8 12 253883
18 6 97263
2 20 196628
5 7 202535
7 18 81879
29 15 26183
8 28 236737
27 22 246939
8 21 267823
18 12 178232
22 20 258484
6 16 181486
6 19 61412
15 11 56665
26 15 255674
13 18 185524
3 27 220989
29 2 189577
1 10 220998
14 26 390672
14 18 162576
21 17 111678
15 8 203915
27 29 204157
5 27 177032
7 15 106667
6 11 126350
7 1 16551
5 11 143647
22 26 110960
8 20 320475
5 3 222175
24 5 159744
29 25 116234
11 24 109304
15 4 234985
29 6 95868
19 12 148176
17 4 192797
13 22 305450
8 17 244984
16 18 87013
15 22 144714
12 17 39433
20 5 34176
12 7 156635
1 18 81512
1 15 106300
24 14 240003
7 23 142705
24 28 179526
12 20 282258
10 22 183663
29 4 261168
6 28 192442
26 25 269976
5 28 230936
6 20 202311
20 15 166136
14 9 183889
19 9 74082
7 8 114166
16 9 234515
2 16 112362
2 14 213460
28 4 249376
4 9 285893
11 8 211004
16 15 111801
13 2 265675
10 7 221365
6 9 118576
25 2 73343
13 29 186919
9 17 213359
24 19 150847
21 10 166738
14 4 298281
20 28 265112
12 10 183620
21 12 151111
7 16 168892
23 19 134246
9 26 376558
12 4 232230
23 3 223590
2 19 248492
7 25 196718
8 14 232432
27 8 122785
8 3 235410
11 10 171363
29 8 180522
1 12 156268
7 13 147148
24 20 125568
6 8 167119
9 13 212771
23 17 156839
19 8 105707
5 1 202168
1 21 170208
23 2 138549
16 17 183026
5 12 248082
24 4 315744
21 23 149522
21 16 175709
11 26 259973
23 27 263588
10 16 210352
4 1 219903
9 24 141740
14 28 221941
26 24 244351
27 1 236584
20 23 199384
21 11 120573
23 1 142338
17 2 235638
24 8 256554
18 11 31877
6 10 180783
20 1 222860
6 24 174690
3 22 282690
27 11 234639
20 26 369444
22 19 193346
21 9 153009
4 26 490659
14 3 133604
15 5 145444
22 21 208622
22 24 197353
13 1 163699
25 4 325036
26 18 230886
20 14 263402
3 21 254250
12 15 203020
21 14 251272
24 7 159306
13 28 265085
17 7 147736
13 14 265414
Case #6: 137
31 36 203595
43 36 171867
33 31 69369
44 3 286370
7 25 143322
25 10 241344
16 43 210028
41 9 145073
20 42 55520
16 37 140234
24 7 415208
31 10 279231
41 23 148878
5 36 198458
6 18 233814
7 13 286070
28 48 174629
47 39 304604
48 22 214810
40 11 189291
33 2 100543
9 37 134219
20 43 61653
23 44 158311
34 41 109414
16 30 178942
37 26 176131
4 28 97047
12 47 476150
6 48 307731
22 26 192215
44 36 122360
16 27 106202
34 28 175431
14 22 240477
34 36 147576
48 11 298929
38 25 180245
9 45 294208
20 29 266133
48 5 349932
6 40 157935
16 21 257376
12 49 483623
30 41 33280
15 26 418076
25 12 450652
25 9 130815
5 4 272350
34 15 317461
43 42 117173
30 28 141918
49 29 289311
10 44 263327
37 10 244748
27 5 225923
34 4 272478
33 26 204209
1 14 269798
5 38 80945
45 5 130106
42 19 170257
44 15 297376
34 27 64528
31 15 321448
28 35 392547
38 36 279403
2 17 172911
40 21 278237
31 3 302274
40 42 152568
34 3 298287
3 24 448277
35 12 697254
46 24 469623
8 15 291445
14 20 93645
17 31 141737
23 28 257516
34 49 51103
12 2 451555
26 2 304752
31 18 281907
22 42 202352
6 25 51050
35 26 544788
19 30 227942
25 11 235613
32 21 6336
14 13 224848
8 14 89984
24 27 302514
49 42 78654
19 16 261404
8 41 83398
10 6 229430
10 49 274315
43 37 137858
24 40 293105
38 45 211051
14 35 392905
17 13 244890
48 46 151761
23 38 126411
48 42 320553
9 26 303542
4 23 329945
16 18 279585
20 34 106701
17 45 220216
39 30 275079
37 35 375465
17 32 183705
43 29 303494
20 9 142360
6 20 21751
14 48 356970
39 40 339852
46 22 356114
43 28 148712
39 42 217394
48 38 365655
29 39 428051
37 2 135429
5 43 273830
29 19 380914
4 8 264465
2 10 310405
9 22 289192
22 36 63336
47 16 208467
45 24 218805
36 29 376347
21 11 126650
6 34 84950
4 25 256581
17 3 305273
Case #7: 29
26 24 695508
4 1 456265
24 22 737889
23 5 576594
18 24 927309
25 11 749608
6 3 942740
6 12 276347
15 26 336597
13 9 306509
13 20 724717
20 16 885254
6 16 608254
15 1 760316
6 21 511004
22 13 596456
26 9 845676
24 16 418962
23 1 687240
21 12 234657
22 15 393886
12 10 676580
20 19 459025
15 19 575496
6 5 558113
8 23 898039
11 12 937009
2 20 924935
19 18 961967
Case #8: 43
2 11 114235
3 1 228492
10 8 399884
2 10 299870
7 10 588990
8 9 214653
9 5 259079
2 7 417968
4 2 64424
2 6 84845
3 7 347065
8 3 170917
1 11 182314
6 9 29794
9 1 184756
10 3 241925
11 3 56290
8 6 184859
6 11 70232
5 11 271633
8 5 386260
10 4 235446
6 1 214550
6 5 229285
10 9 285661
4 3 6479
7 11 403355
1 10 367949
3 5 215343
4 7 353544
10 5 457268
4 9 50215
8 7 517982
7 1 547673
8 11 214249
2 9 114639
4 8 164438
7 5 379027
1 2 296549
6 10 255867
8 1 396563
7 9 362917
11 4 49811
Case #9: Impossible
Case #10: Impossible
Case #11: 4
7 3 229316
2 3 815808
6 4 635657
2 7 760733
Case #12: Impossible
Case #13: 40
7 9 440985
2 10 269167
15 5 451813
4 14 272452
7 13 399860
7 14 531498
16 4 413509
15 3 128506
1 12 450434
11 5 539481
8 15 177991
15 16 447486
12 3 459751
12 13 118679
7 12 510672
13 8 328563
8 12 209884
12 2 519114
3 6 556214
5 2 421491
4 2 350972
3 9 127323
6 15 510315
2 6 217473
3 11 267591
14 1 502041
14 5 136730
11 12 381925
11 1 574262
8 7 300788
11 2 481271
9 15 255829
5 13 280851
7 6 633112
2 14 539940
14 10 270773
1 10 483827
10 8 40063
10 16 411830
9 6 428891
Case #14: 311
24 29 186437
25 43 255988
10 25 165581
4 10 173649
17 43 130367
6 12 276638
42 43 136978
25 46 195537
34 49 150313
16 41 153857
2 19 24885
38 43 203678
29 6 229733
8 31 154552
10 9 83660
13 20 282422
27 20 245062
17 19 137831
22 11 224312
4 9 89989
4 26 94544
20 11 213321
31 30 159738
13 19 39126
9 18 42945
11 36 94642
20 43 252158
10 45 228017
13 18 180604
27 14 280583
37 39 155546
34 23 115043
22 45 150693
32 43 152277
48 40 227768
22 31 23166
1 49 210301
12 43 126143
3 1 230484
31 46 133720
43 35 81991
22 6 154304
49 35 115896
27 15 205547
38 35 121687
43 14 264090
32 7 115678
10 28 228941
30 23 182317
18 6 167074
12 37 117235
36 14 276630
44 45 275343
42 27 302023
28 37 218706
5 38 205535
50 5 220101
21 48 66132
10 46 249618
23 33 201643
36 49 95585
50 43 139843
23 47 144935
50 9 36813
29 38 252814
28 40 334234
18 22 159049
35 47 42323
21 24 146571
37 10 164510
49 40 245380
38 21 204377
9 29 217221
22 34 69298
36 40 149795
44 18 283699
16 23 150098
21 32 152976
28 24 228437
38 46 239143
31 32 54022
22 29 209749
49 48 100998
24 9 30784
17 12 231430
2 27 208807
25 8 231134
10 36 189329
21 37 96646
15 4 108140
11 28 158142
49 4 194792
13 39 254128
30 43 145192
10 26 233598
15 34 222527
33 39 235525
48 39 273838
47 39 99267
16 3 256387
35 30 63342
26 18 206377
41 47 148694
10 11 209375
11 42 219080
13 35 113653
41 9 85191
24 12 167301
43 31 183779
8 2 208206
20 18 325725
27 21 208455
14 20 304991
30 45 112893
44 36 194820
16 49 78736
8 22 177718
35 26 96538
34 36 213594
29 19 56600
8 18 102509
25 28 206133
33 24 168326
19 15 28937
13 42 167242
47 38 164010
2 25 253154
2 14 281511
28 47 162427
40 2 178358
20 23 305519
22 38 82257
25 3 382898
32 20 266998
10 49 140087
21 16 130176
40 42 277083
20 39 264482
4 3 213577
25 41 183135
48 22 192602
19 31 191243
33 13 274754
32 3 279187
15 36 8933
9 22 168036
17 22 172861
44 29 232814
23 35 146887
30 47 105665
42 34 180012
31 28 227761
31 10 262488
4 29 135803
48 46 268296
44 21 182979
15 7 150064
33 21 283258
20 8 231686
29 43 49136
13 6 191765
46 27 230247
45 37 63507
3 31 310689
3 6 350337
26 29 223623
40 38 226761
26 6 211412
1 42 239154
35 4 111169
27 4 131510
23 26 102853
30 6 155593
4 38 119693
48 34 251311
39 25 263981
11 6 196767
19 47 131778
15 25 276063
35 48 148822
18 24 73729
40 37 208808
44 47 223840
18 39 254370
3 15 148383
25 32 235124
21 14 264789
32 41 73090
22 23 45745
50 44 255873
48 11 31710
47 9 117565
46 5 162909
15 31 203854
18 14 213861
33 10 282770
36 18 217108
50 41 48378
39 43 223581
20 29 246287
35 39 141590
9 48 152545
41 23 149691
44 12 306757
4 5 222426
42 17 265947
37 9 80850
4 39 238486
49 12 209188
48 5 213194
34 18 121423
25 5 245042
45 4 160720
49 31 218269
47 17 95815
3 29 176046
3 33 324044
2 6 206006
29 42 186114
18 25 214515
50 23 176968
7 2 146012
10 40 273186
46 34 216889
16 48 179734
4 33 215473
40 18 232471
43 16 129477
43 27 209154
20 22 259774
48 50 126430
23 48 146857
26 45 146089
20 28 55179
43 48 66831
2 47 141735
1 4 156187
21 29 49835
24 10 114444
23 7 192279
17 21 129668
38 23 128002
12 19 133607
43 33 283957
46 47 145015
37 48 162778
18 32 180125
41 5 227224
48 31 215768
33 20 376072
37 33 206334
35 31 124308
36 19 20004
19 7 137453
29 18 203811
23 27 139819
14 8 206247
26 15 200002
7 46 303420
13 26 182927
12 18 234232
37 25 178794
11 7 212091
13 24 157682
13 16 149698
37 35 13956
34 3 327964
29 35 131127
4 14 197977
1 44 80104
1 10 246919
24 47 106345
7 44 271184
37 44 211836
15 30 166665
39 6 230303
20 40 344728
32 14 245168
12 20 283738
48 10 210176
1 36 114716
47 1 156229
23 42 250448
8 27 207278
15 13 51737
31 11 247478
26 50 126619
47 8 66471
44 34 193948
13 14 294637
31 23 68911
6 38 222932
6 28 293463
15 50 161316
6 35 173359
37 19 103411
31 37 110352
34 50 177056
29 30 185757
4 16 158655
7 18 282841
20 7 371454
2 48 49410
5 20 295935
41 45 155922
47 50 100316
6 33 208951
40 4 217947
12 11 208245
34 39 176007
1 41 160985
Case #15: 122
32 26 265984
4 33 353361
10 4 366871
23 32 396805
29 1 357360
11 28 191597
22 13 108832
3 24 375276
1 33 340169
23 33 309126
21 8 273646
19 9 87723
23 16 345126
31 20 271800
4 20 283434
15 1 316626
29 31 229448
2 34 170718
10 3 294225
21 14 136310
5 15 105059
11 2 321224
6 1 76634
15 33 367957
34 24 246029
27 33 141928
26 3 343281
25 32 233041
31 3 174010
1 13 303382
29 36 298853
23 34 335890
14 12 129159
3 4 93305
34 31 437782
10 7 318218
30 32 347593
29 17 288856
14 22 105264
23 27 167198
4 32 170602
13 23 196917
5 26 329254
17 18 198566
1 23 203547
25 11 426786
16 17 259036
10 30 276909
13 14 80107
11 9 209879
19 6 151345
17 2 342253
19 30 208339
35 31 143808
7 35 264459
36 15 301056
31 5 236667
27 35 289124
2 36 245456
34 25 145222
1 5 211567
19 21 131606
19 35 104320
17 23 397342
31 6 190833
30 3 321532
32 24 333848
4 6 342935
3 9 247058
18 22 365492
9 24 231602
18 21 303648
11 6 278913
14 7 328595
13 10 210293
3 6 310680
27 31 284871
21 26 293435
33 3 260056
27 6 294111
34 11 443067
30 29 173409
8 11 264196
18 11 436902
32 10 350131
28 21 174302
8 10 230781
8 15 288323
23 7 321103
17 25 258207
7 32 417380
10 1 177418
28 9 130419
3 32 77297
2 8 324818
9 16 272676
27 5 369807
24 8 285919
14 11 238997
23 22 305749
25 4 400753
33 28 363526
29 32 285030
18 1 322321
24 10 191930
12 35 228775
7 17 400042
20 27 207511
22 31 62816
9 29 217104
1 28 240534
14 34 358200
31 23 286226
8 31 129970
28 25 305276
35 13 179723
20 19 252013
36 24 284156
36 10 385345
29 6 280726
35 20 356333
30 11 201212
Case #16: 597
9 11 126656
17 22 70150
13 19 100647
15 17 71601
20 10 203506
28 16 28690
24 32 125443
3 10 143633
8 10 61141
28 34 158955
16 13 60756
4 31 161830
41 13 41682
7 14 153769
19 29 144018
6 19 105979
39 8 197128
28 18 53227
15 7 107811
3 24 115164
33 35 117870
27 22 84588
29 12 131454
27 40 38635
37 7 231306
9 38 65320
12 9 107380
15 32 45613
30 33 108866
18 11 171290
24 29 142853
21 9 83091
26 28 104863
26 7 123468
41 30 82772
11 23 216066
41 20 133012
35 7 73179
1 40 86194
22 41 125542
5 11 189763
19 23 115568
13 35 20089
4 12 170568
11 40 128414
26 24 169860
7 31 87174
29 23 152970
7 19 47557
16 10 110600
6 40 14125
7 13 53090
40 34 143884
13 22 99089
1 27 115396
39 29 110343
18 26 61438
10 21 83542
29 26 86067
40 24 75348
34 13 165302
23 35 129688
13 25 13841
5 6 75474
41 40 79589
32 25 86493
38 30 106216
21 3 86931
1 28 78576
4 14 134359
10 31 118780
36 11 167936
8 15 111868
30 3 56918
30 26 111468
4 19 183132
20 12 182814
26 36 132457
35 36 72366
28 23 128293
18 39 143454
5 31 82224
18 23 128341
30 20 147649
29 28 77856
33 14 122931
27 21 98353
16 30 22085
41 25 41614
24 8 124117
25 14 121333
7 6 110918
27 19 115148
37 29 191755
40 18 42876
30 5 100487
21 14 67102
10 26 168645
1 9 100134
29 3 76702
32 12 161504
35 14 115085
1 41 151476
15 18 35979
2 35 89001
25 19 114488
13 32 100334
14 20 212731
40 10 121117
6 29 71367
28 7 87575
22 11 218149
36 8 142736
13 39 139941
14 10 79692
17 34 67801
38 20 197771
23 27 124100
21 2 91180
3 25 48492
8 25 79867
7 17 171087
41 9 55386
15 14 100195
31 6 87627
4 37 223217
22 31 145640
3 1 100641
19 24 118308
11 34 231774
36 4 90350
30 40 39138
17 4 105765
13 8 66026
40 16 17053
8 9 86910
35 34 154292
20 36 167318
34 21 106309
7 20 159649
40 13 51816
27 10 111448
40 8 117842
9 10 89877
11 7 117212
22 25 85248
30 25 54931
15 5 72367
29 4 96854
34 16 130265
13 6 57828
2 9 146643
10 24 62976
4 2 151397
11 15 139432
16 36 29005
16 31 96769
17 36 36561
37 36 158535
13 5 100461
21 13 112854
22 5 155606
28 8 100511
7 2 139541
2 37 245180
25 6 43987
3 5 101165
41 5 126914
9 36 59998
16 25 46915
16 21 52098
16 37 129530
12 24 193764
11 26 194611
2 14 145156
35 1 112502
13 29 43371
1 29 143436
35 16 43361
22 28 112430
23 30 121688
18 14 116432
31 17 162335
32 27 85833
14 37 223690
4 3 115816
24 14 142668
9 4 124680
1 31 111780
15 27 40220
21 40 62615
17 21 38508
23 3 122366
10 12 143937
22 2 92324
18 38 109954
41 21 138477
38 24 142426
35 9 62284
1 37 198671
5 7 90980
21 28 80788
10 2 65464
27 30 55591
39 15 159377
40 3 39816
36 30 51090
8 29 109397
37 38 201591
18 34 155042
27 31 93846
8 37 220769
9 34 130362
37 6 126602
18 2 87654
38 36 106600
9 3 53756
40 36 39522
41 17 151945
39 10 135987
13 23 138601
11 21 191029
5 21 123964
15 24 86366
27 33 112282
8 26 136404
6 23 96675
17 25 112481
29 33 141152
32 29 113873
21 33 80869
3 13 62333
31 28 125459
32 36 10573
10 38 145650
29 27 28870
7 30 94180
28 2 132399
21 26 155550
24 22 89836
26 31 70544
18 13 18742
4 26 125181
3 6 31905
16 17 65566
4 11 235033
41 37 203839
24 34 103461
41 19 142329
16 39 165412
14 23 104469
11 39 233335
15 22 89775
16 26 103452
32 2 97218
14 12 179909
30 17 87651
41 7 94772
31 9 115692
18 36 71019
10 4 150799
36 19 118666
25 9 65838
10 35 117036
32 16 39578
22 6 92882
29 16 74295
15 30 28120
11 6 142539
10 15 114835
12 34 184422
3 18 52073
17 19 134081
20 11 259107
19 9 121531
14 31 190929
27 39 139213
39 41 98259
24 16 92401
19 14 162675
32 18 81592
21 6 61240
2 31 53316
19 20 207206
12 1 136937
26 38 133275
9 33 117774
30 14 116245
11 3 168230
25 24 113323
23 37 217063
40 2 122048
26 32 143030
11 41 182042
19 5 112665
6 36 38147
20 26 149255
38 34 171258
11 38 61336
23 7 98854
24 6 89473
25 5 86620
33 3 121614
39 7 193031
6 16 9142
5 37 195862
8 16 117903
39 35 144801
17 3 100399
24 7 137053
38 4 173697
37 13 178216
10 7 74077
20 9 157236
23 31 94003
35 8 86115
17 10 97010
36 7 142851
1 22 124558
30 6 31227
26 1 172593
25 40 37975
8 17 158151
10 29 133179
15 38 78096
14 26 134522
10 1 151418
9 15 24958
15 41 80344
4 34 173566
1 38 49049
37 12 239386
17 28 94256
34 26 173729
28 36 57695
23 26 164547
25 15 40880
18 5 81719
20 24 206041
7 21 157619
1 11 110385
40 7 104906
32 39 198454
1 16 81211
7 9 99846
3 26 105029
18 19 119389
26 19 171025
1 23 156959
36 27 75260
8 12 99395
18 33 116523
23 5 163962
23 36 87136
12 6 112784
15 26 97417
34 1 122209
5 10 139185
12 19 134016
32 19 108093
14 40 104677
15 36 35040
22 32 44162
5 27 85960
25 12 101924
34 33 134818
33 36 57776
3 36 63838
17 1 54408
32 3 74411
33 13 126783
20 28 141044
6 2 124792
2 25 84073
12 16 121926
38 17 103457
30 34 152350
27 2 83413
4 33 148126
27 25 660
32 40 50095
32 38 117173
37 22 213270
24 9 111324
12 38 87888
14 9 125153
33 37 216311
16 5 78402
8 2 126605
29 22 113458
19 2 156255
38 31 62731
14 41 161627
20 29 120928
38 23 156734
19 33 176442
20 6 135385
5 34 179670
26 17 163116
18 25 4901
40 28 45743
2 20 175471
12 5 57067
9 6 28065
8 14 140833
35 11 172637
17 18 107580
4 22 123939
5 39 209708
11 24 203762
22 26 141785
38 40 67078
17 33 94337
28 10 139290
27 37 163715
27 12 102584
15 13 54721
41 33 153236
6 38 81203
21 38 129693
9 23 114654
20 25 92718
16 11 145467
37 32 169108
32 21 12520
19 30 126419
14 6 103302
29 41 12084
4 30 118917
31 21 144496
41 8 107708
6 26 100524
23 40 104586
26 35 62785
37 25 164375
14 28 122850
22 34 66213
16 27 46255
5 40 61349
25 38 105053
1 30 71971
15 37 123495
28 33 115471
3 38 106894
6 10 117942
41 31 134800
15 29 68260
28 30 6605
6 4 102829
34 23 65262
11 13 170302
18 4 63743
35 30 56521
33 39 230320
24 21 137963
29 34 173664
26 40 94512
29 31 122716
17 5 137432
20 8 172585
9 17 96559
3 20 139890
33 7 168410
19 40 91854
29 35 34458
1 18 111155
38 14 132051
19 39 191319
12 36 150931
27 34 150801
24 37 129975
1 25 116056
39 28 154688
15 16 6035
3 27 47832
10 34 40485
9 32 70571
20 31 185904
28 4 116970
26 41 98151
1 8 133558
30 32 61663
17 6 74708
8 23 85918
32 4 79777
39 21 210974
31 19 108859
13 26 70378
27 26 57197
33 8 155474
12 28 150250
3 37 152293
32 11 178509
31 40 101752
37 26 220912
20 23 216158
39 23 160764
20 39 231271
10 18 115689
6 35 40433
39 26 196410
36 1 90969
8 22 88001
41 6 83451
19 1 168179
16 2 115650
11 37 262927
1 39 220054
8 3 112747
18 8 84768
13 27 14501
40 35 44223
23 12 119160
32 35 82939
20 22 176646
35 25 6248
16 18 42014
39 25 139873
14 17 28594
12 31 25157
22 9 114733
25 7 66931
12 21 169653
26 33 152729
22 23 51637
6 34 139407
30 18 57868
7 16 113846
18 37 159474
32 28 68268
28 11 174157
33 24 157309
34 15 136300
4 16 105757
30 29 84461
38 33 144916
7 29 96461
7 34 114562
22 33 112511
35 19 120736
37 28 158220
21 23 64043
4 21 67257
38 7 71573
32 14 54582
16 19 104334
28 9 59683
15 31 90734
25 23 124760
5 9 97325
35 41 46542
37 35 160821
11 25 166389
33 31 82185
7 22 100937
15 3 28798
27 14 120673
34 2 105949
14 39 215679
18 29 33111
9 29 43302
36 24 114870
38 8 84509
26 12 45387
41 27 40954
39 3 187045
5 32 111444
16 9 30993
3 34 165098
2 30 137735
24 35 119571
22 39 162847
34 41 185748
22 19 63931
14 5 166026
9 26 122375
39 36 187881
13 36 89761
31 8 74238
1 24 161542
34 39 176472
31 13 107027
32 7 145099
38 2 116047
25 21 99013
38 35 111301
21 37 181628
32 8 132163
12 7 112331
20 21 190411
18 27 4241
10 37 192951
18 20 96299
9 37 148453
23 17 102551
28 15 34725
35 15 37326
Case #17: Impossible
Case #18: Impossible
Case #19: 676
40 33 83596
25 28 140999
4 19 33186
11 23 126701
8 5 173901
5 19 50000
3 33 167116
35 2 44255
15 18 77771
23 9 192951
8 19 136662
38 34 66035
43 1 74271
8 40 71947
38 18 77370
3 6 165402
23 2 153665
20 19 77836
18 22 72535
8 13 92197
16 37 106965
10 28 81926
31 11 86002
12 4 73982
7 5 132812
34 22 34653
9 15 50932
18 1 89348
34 25 105381
20 38 85773
7 18 44105
39 17 65053
33 23 147022
12 7 91219
34 7 80217
8 29 126911
7 8 128399
26 37 50312
36 12 84343
5 15 38961
41 25 110655
6 29 94624
38 28 116627
35 21 40432
34 3 109456
27 15 150967
31 19 100152
31 13 60214
15 36 114100
27 40 86443
19 37 57990
41 39 26745
1 2 44138
17 12 81389
10 30 87099
34 43 93153
30 22 34042
5 23 165380
25 14 99161
1 8 174542
37 35 40254
33 36 107578
31 21 91092
39 29 50839
43 22 69750
32 35 87070
38 14 88861
8 9 157483
29 31 45501
39 33 97544
32 22 26502
10 4 90701
34 6 80049
30 18 83647
25 22 85778
20 37 89410
32 24 97917
28 8 175959
33 22 95268
5 40 101954
17 11 15611
42 40 64220
37 30 65580
7 37 111085
35 30 27730
25 15 116781
20 16 18671
38 43 107848
25 11 94353
40 2 91761
29 3 138484
43 28 14529
33 28 107799
42 22 60570
42 27 115776
18 29 66910
6 36 105864
27 3 154096
39 26 73580
35 38 40120
40 23 122021
40 11 66716
6 35 54134
35 27 116978
3 41 96317
24 1 90168
39 19 105490
26 9 95499
36 43 108438
37 13 92561
30 34 53645
19 36 106387
33 21 56298
5 41 89157
